time,mean,min,max,source,climatology,anomaly
1940-04-22 00:00:00+00:00,17.03,11.04,23.62,ERA5,10.69,6.33
1940-04-23 00:00:00+00:00,18.15,12.64,23.71,ERA5,10.81,7.34
1940-04-24 00:00:00+00:00,17.37,12.13,20.59,ERA5,10.93,6.44
1940-04-25 00:00:00+00:00,11.1,7.99,13.26,ERA5,11.06,0.04
1940-04-26 00:00:00+00:00,11.22,8.1,13.69,ERA5,11.19,0.03
1940-04-27 00:00:00+00:00,12.82,9.09,15.82,ERA5,11.32,1.5
1940-04-28 00:00:00+00:00,11.98,8.74,15.81,ERA5,11.45,0.53
1940-04-29 00:00:00+00:00,12.75,8.11,16.67,ERA5,11.57,1.18
1940-04-30 00:00:00+00:00,13.5,7.1,19.33,ERA5,11.67,1.83
1940-05-01 00:00:00+00:00,12.51,8.65,16.17,ERA5,11.76,0.75
1940-05-02 00:00:00+00:00,12.78,7.65,17.78,ERA5,11.87,0.92
1940-05-03 00:00:00+00:00,15.05,8.97,21.32,ERA5,11.97,3.07
1940-05-04 00:00:00+00:00,13.89,10.08,16.73,ERA5,12.07,1.82
1940-05-05 00:00:00+00:00,9.4,7.23,12.27,ERA5,12.19,-2.78
1940-05-06 00:00:00+00:00,12.04,6.31,17.96,ERA5,12.31,-0.26
1940-05-07 00:00:00+00:00,11.49,7.67,15.13,ERA5,12.43,-0.94
1940-05-08 00:00:00+00:00,11.84,7.3,15.84,ERA5,12.55,-0.71
1940-05-09 00:00:00+00:00,14.4,8.15,19.39,ERA5,12.68,1.72
1940-05-10 00:00:00+00:00,14.62,9.48,19.56,ERA5,12.79,1.83
1940-05-11 00:00:00+00:00,11.02,4.46,15.09,ERA5,12.91,-1.88
1940-05-12 00:00:00+00:00,8.78,3.19,14.07,ERA5,13.01,-4.23
1940-05-13 00:00:00+00:00,9.78,2.92,16.24,ERA5,13.12,-3.34
1940-05-14 00:00:00+00:00,15.67,9.45,21.82,ERA5,13.23,2.44
1940-05-15 00:00:00+00:00,17.99,11.02,23.81,ERA5,13.34,4.65
1940-05-16 00:00:00+00:00,12.26,7.02,14.96,ERA5,13.44,-1.18
1940-05-17 00:00:00+00:00,11.07,4.76,15.67,ERA5,13.54,-2.47
1940-05-18 00:00:00+00:00,13.54,6.89,18.47,ERA5,13.66,-0.12
1940-05-19 00:00:00+00:00,13.98,9.89,17.75,ERA5,13.78,0.2
1940-05-20 00:00:00+00:00,14.07,7.99,20.2,ERA5,13.9,0.17
1940-05-21 00:00:00+00:00,15.32,7.24,20.75,ERA5,14.01,1.31
1940-05-22 00:00:00+00:00,15.98,11.16,20.97,ERA5,14.1,1.88
1940-05-23 00:00:00+00:00,14.83,9.93,20.38,ERA5,14.17,0.66
1940-05-24 00:00:00+00:00,15.67,9.28,21.76,ERA5,14.26,1.41
1940-05-25 00:00:00+00:00,19.66,12.92,25.33,ERA5,14.34,5.33
1940-05-26 00:00:00+00:00,20.26,16.91,24.93,ERA5,14.42,5.84
1940-05-27 00:00:00+00:00,16.24,11.77,20.44,ERA5,14.52,1.73
1940-05-28 00:00:00+00:00,15.23,12.6,20.6,ERA5,14.62,0.62
1940-05-29 00:00:00+00:00,13.8,10.56,17.59,ERA5,14.72,-0.92
1940-05-30 00:00:00+00:00,13.05,9.82,16.27,ERA5,14.82,-1.78
1940-05-31 00:00:00+00:00,12.98,8.04,16.54,ERA5,14.92,-1.94
1940-06-01 00:00:00+00:00,13.18,8.91,17.31,ERA5,15.02,-1.84
1940-06-02 00:00:00+00:00,15.02,11.2,18.63,ERA5,15.13,-0.11
1940-06-03 00:00:00+00:00,16.73,11.0,21.74,ERA5,15.24,1.48
1940-06-04 00:00:00+00:00,18.09,12.74,23.96,ERA5,15.36,2.73
1940-06-05 00:00:00+00:00,19.65,12.59,25.48,ERA5,15.47,4.18
1940-06-06 00:00:00+00:00,21.0,15.29,26.23,ERA5,15.55,5.45
1940-06-07 00:00:00+00:00,20.25,15.27,25.89,ERA5,15.62,4.63
1940-06-08 00:00:00+00:00,18.03,12.45,24.24,ERA5,15.69,2.34
1940-06-09 00:00:00+00:00,20.13,11.47,26.91,ERA5,15.75,4.37
1940-06-10 00:00:00+00:00,20.71,16.15,28.16,ERA5,15.82,4.88
1940-06-11 00:00:00+00:00,18.65,14.56,23.03,ERA5,15.9,2.75
1940-06-12 00:00:00+00:00,15.48,13.0,18.72,ERA5,15.97,-0.49
1940-06-13 00:00:00+00:00,15.1,12.77,18.6,ERA5,16.04,-0.94
1940-06-14 00:00:00+00:00,14.54,10.71,19.16,ERA5,16.12,-1.59
1940-06-15 00:00:00+00:00,14.72,9.41,18.98,ERA5,16.21,-1.49
1940-06-16 00:00:00+00:00,16.07,12.94,20.01,ERA5,16.3,-0.22
1940-06-17 00:00:00+00:00,17.52,12.51,22.37,ERA5,16.38,1.14
1940-06-18 00:00:00+00:00,19.05,13.75,24.5,ERA5,16.46,2.59
1940-06-19 00:00:00+00:00,17.06,12.57,21.81,ERA5,16.56,0.5
1940-06-20 00:00:00+00:00,18.04,12.52,24.25,ERA5,16.65,1.4
1940-06-21 00:00:00+00:00,16.15,12.22,20.78,ERA5,16.72,-0.58
1940-06-22 00:00:00+00:00,16.69,10.02,22.54,ERA5,16.8,-0.11
1940-06-23 00:00:00+00:00,18.91,13.87,24.18,ERA5,16.87,2.04
1940-06-24 00:00:00+00:00,19.53,15.46,25.32,ERA5,16.94,2.59
1940-06-25 00:00:00+00:00,17.77,12.84,21.87,ERA5,17.01,0.76
1940-06-26 00:00:00+00:00,13.74,11.49,16.87,ERA5,17.08,-3.34
1940-06-27 00:00:00+00:00,13.61,9.85,16.38,ERA5,17.14,-3.53
1940-06-28 00:00:00+00:00,14.34,9.1,19.34,ERA5,17.2,-2.86
1940-06-29 00:00:00+00:00,17.25,8.99,23.37,ERA5,17.27,-0.01
1940-06-30 00:00:00+00:00,18.83,13.06,24.32,ERA5,17.33,1.5
1940-07-01 00:00:00+00:00,17.57,12.9,22.29,ERA5,17.4,0.17
1940-07-02 00:00:00+00:00,19.64,13.62,24.67,ERA5,17.46,2.18
1940-07-03 00:00:00+00:00,16.75,14.64,19.22,ERA5,17.52,-0.77
1940-07-04 00:00:00+00:00,15.71,13.17,18.33,ERA5,17.57,-1.86
